Data;Open;High;Low;Close;Candle
30/09/2021 12:45;112115;112160;111735;111775;46
30/09/2021 12:40;112215;112260;112070;112120;45
30/09/2021 12:35;112165;112285;112080;112215;44
30/09/2021 12:30;112425;112500;112150;112165;43
30/09/2021 12:25;112405;112515;112345;112425;42
30/09/2021 12:20;112380;112510;112280;112410;41
30/09/2021 12:15;112230;112450;112220;112380;40
30/09/2021 12:10;112230;112310;112125;112225;39
30/09/2021 12:05;112035;112305;111960;112230;38
30/09/2021 12:00;111860;112050;111760;112035;37
30/09/2021 11:55;112015;112030;111710;111860;36
30/09/2021 11:50;112225;112270;111980;112015;35
30/09/2021 11:45;112265;112335;112175;112230;34
30/09/2021 11:40;112355;112370;112085;112265;33
30/09/2021 11:35;112355;112455;112240;112355;32
30/09/2021 11:30;112170;112385;112040;112360;31
30/09/2021 11:25;111925;112265;111910;112170;30
30/09/2021 11:20;112185;112265;111885;111930;29
30/09/2021 11:15;112150;112245;112010;112180;28
30/09/2021 11:10;112310;112375;112140;112150;27
30/09/2021 11:05;112195;112325;111960;112310;26
30/09/2021 11:00;112225;112385;112170;112195;25
30/09/2021 10:55;112435;112460;112205;112220;24
30/09/2021 10:50;112280;112475;112230;112430;23
30/09/2021 10:45;112080;112290;111910;112285;22
30/09/2021 10:40;111865;112125;111830;112080;21
30/09/2021 10:35;112210;112395;111840;111865;20
30/09/2021 10:30;112110;112340;111950;112210;19
30/09/2021 10:25;112035;112175;111995;112110;18
30/09/2021 10:20;111730;112045;111695;112035;17
30/09/2021 10:15;111705;111755;111555;111730;16
30/09/2021 10:10;111695;111785;111570;111705;15
30/09/2021 10:05;111925;111955;111615;111700;14
30/09/2021 10:00;112120;112130;111805;111925;13
30/09/2021 09:55;112280;112315;112115;112120;12
30/09/2021 09:50;112280;112325;112230;112280;11
30/09/2021 09:45;112110;112365;112100;112280;10
30/09/2021 09:40;111905;112150;111875;112110;9
30/09/2021 09:35;111995;112000;111820;111910;8
30/09/2021 09:30;111775;112065;111770;111990;7
30/09/2021 09:25;111695;111855;111665;111770;6
30/09/2021 09:20;111565;111700;111525;111700;5
30/09/2021 09:15;111640;111745;111555;111565;4
30/09/2021 09:10;111665;111735;111580;111640;3
30/09/2021 09:05;111680;111785;111600;111665;2
30/09/2021 09:00;111650;111900;111590;111680;1
29/09/2021 17:50;111135;111230;111050;111140;107
29/09/2021 17:45;111155;111195;111110;111135;106
29/09/2021 17:40;111290;111310;111115;111150;105
29/09/2021 17:35;111295;111360;111205;111290;104
29/09/2021 17:30;111265;111400;111170;111285;103
29/09/2021 17:25;111225;111310;111220;111265;102
29/09/2021 17:20;111275;111375;111215;111220;101
29/09/2021 17:15;111320;111395;111205;111275;100
29/09/2021 17:10;111335;111465;111300;111315;99
29/09/2021 17:05;111180;111370;111145;111330;98
29/09/2021 17:00;111020;111195;111005;111180;97
29/09/2021 16:55;110950;111045;110880;111020;96
29/09/2021 16:50;111180;111185;110915;110950;95
29/09/2021 16:45;111255;111280;111090;111175;94
29/09/2021 16:40;111470;111475;111230;111260;93
29/09/2021 16:35;111515;111525;111375;111470;92
29/09/2021 16:30;111380;111535;111270;111515;91
29/09/2021 16:25;111300;111495;111300;111375;90
29/09/2021 16:20;111395;111400;111270;111305;89
29/09/2021 16:15;111370;111455;111285;111390;88
29/09/2021 16:10;111235;111415;111215;111375;87
29/09/2021 16:05;111115;111335;111100;111235;86
29/09/2021 16:00;111010;111215;110990;111120;85
29/09/2021 15:55;111125;111190;111005;111005;84
29/09/2021 15:50;111240;111295;111080;111130;83
29/09/2021 15:45;111510;111525;111200;111240;82
29/09/2021 15:40;111240;111585;111225;111510;81
29/09/2021 15:35;111340;111350;111210;111240;80
29/09/2021 15:30;111175;111355;111160;111340;79
29/09/2021 15:25;111200;111310;111145;111175;78
29/09/2021 15:20;111235;111270;111110;111200;77
29/09/2021 15:15;111480;111490;111215;111235;76
29/09/2021 15:10;111335;111485;111285;111480;75
29/09/2021 15:05;111120;111380;111020;111330;74
29/09/2021 15:00;111150;111245;111085;111125;73
29/09/2021 14:55;111195;111305;111055;111150;72
29/09/2021 14:50;111170;111275;111125;111190;71
29/09/2021 14:45;111090;111190;111015;111165;70
29/09/2021 14:40;111030;111155;110845;111090;69
29/09/2021 14:35;111280;111280;111020;111035;68
29/09/2021 14:30;111405;111410;111215;111275;67
29/09/2021 14:25;111495;111500;111315;111405;66
29/09/2021 14:20;111615;111665;111445;111500;65
29/09/2021 14:15;111580;111750;111540;111620;64
29/09/2021 14:10;111740;111790;111575;111585;63
29/09/2021 14:05;111640;111775;111560;111735;62
29/09/2021 14:00;111825;111885;111630;111640;61
29/09/2021 13:55;111860;111900;111805;111820;60
29/09/2021 13:50;111680;111890;111665;111865;59
